Year,State,Fires (Wildland),Acres (Wildland),Fires (Rx),Acres (Rx),Fires (WFU),Acres (WFU),Fires (Human),Acres (Human),Fires (Lightning),Acres (Lightning),Fires (Total),Acres (Total)
2009,Virginia,920,"8,002",37,"17,392",,,,,,,,
2009,Washington,"1,976","77,250",135,"26,419",,,,,,,,
2009,West Virginia,941,13591,7,155,,,,,,,,
2009,Wisconsin,"1,640",3746,659,31221,,,,,,,,
2009,Wyoming,370,23123,80,16299,,,,,,,,
2010,Alabama,"2,561","24,956",109,"85,175",,,,,,,,
2010,Alaska,689,"1,125,419",6,505,,,,,,,,
2010,Arizona,"1,601","76,318",255,"86,826",,,,,,,,
2010,Arkansas,"2,353","37,671",257,"204,808",,,,,,,,
2010,California,"6,554","109,529",970,"72,565",,,,,,,,
2010,Colorado,"1,169","44,020",306,"29,377",,,,,,,,
2010,Connecticut,69,267,6,52,,,,,,,,
2010,Delaware,12,32,3,22,,,,,,,,
2010,Florida,"2,984","63,091",537,444400,,,,,,,,
2010,Georgia,"4,273","20,137",8512,158311,,,,,,,,
2010,Hawaii,9,"10,172",0,0,,,,,,,,
2010,Idaho,984,"642,997",223,"36,652",,,,,,,,
2010,Illinois,121,"1,330",45,"7,639",,,,,,,,
2010,Indiana,"1,296","7,940",65,"15,635",,,,,,,,
2010,Iowa,123,"2,722",110,"8,665",,,,,,,,
